Year,AG,CK,CM,FE,JT,PT,PV,EV,IV,BD,CS,GB,MM,FK,OR,SC
2001,88.5024149720098,91.6790163733742,126.97093423421,159.30463161984,105.038437987819,106.861673132166,136.762833836567,128.678392831903,195.053887212844,207.654647584945,156.572635040283,177.072856149274,157.487549758539,168.679019785182,165.452155354818,141.949924649087
2002,22.2698891330773,16.5148537339586,39.694238755527,55.2174787521362,21.9384934902191,19.2886330864646,46.383225889091,44.8244414279335,67.9430835723877,64.70085791936,40.2202009010315,53.5938215198631,43.4717572375042,53.5623336934788,59.2594048817952,37.9433795372304
2003,121.718351982009,124.896133437301,163.247378688531,185.115658837396,173.791690479625,149.429730303876,178.990832960749,170.128027986225,211.59891771589,180.115662347703,155.221489257812,172.271056397946,148.242203317037,177.124561248616,176.360379943848,143.143970211176
2004,160.70523533351,167.917001695344,244.589007793657,284.757243697708,206.991251858798,183.69685443036,272.32198508389,260.317634984067,318.524693225679,334.050820486886,279.552663116455,312.590889205476,278.281504747344,229.58630362934,275.758208618164,233.679970802667
2005,223.127546713386,206.066804423477,251.44594604697,282.161935342325,250.658542170669,207.423098279284,287.795200761542,281.435087986996,301.478738621303,347.114805675688,271.765374603271,273.400787718996,257.663370085926,257.735175800833,278.738428548177,230.339389719165
2006,28.7085674850034,30.5468697042176,62.9156276715682,88.0847838376019,40.9153022477121,33.502102145901,79.0639465515872,77.0935607910156,121.956819279989,183.168391394237,133.845963668823,143.026032225101,132.951343164211,70.5730720968808,84.3720774332682,47.9697180653846
2007,62.7945486256774,62.1146280693285,92.0130271271571,125.788633655857,76.8528728485107,79.55424345933,95.0618205242846,99.4138850964998,141.855989101955,152.311553470672,120.266824035645,139.38151276183,115.739898216434,46.1904304014808,57.8517273712158,40.0641284664301
2008,142.69844076667,121.150905349038,144.285886726123,158.073664330147,153.365648269653,140.415394869718,151.382903225451,128.637850550601,163.218321010045,176.586757599361,126.961053924561,152.297972947538,124.160882252019,121.485894351082,143.804475504557,107.943191593809
2009,42.6462454728677,41.7353103377602,75.9866226119483,91.9523950009733,49.1051350217877,41.7224161470091,87.3928784749594,71.8558168913189,94.3332026527041,139.150226048061,93.9723443984985,109.65119934082,98.8254745297316,61.0845056217622,71.4048123677572,52.1201754394007
2010,224.867502131932,190.426393017624,188.637320883322,256.135625890783,221.586795922482,174.707536870783,279.88357470409,252.604202109889,319.975004359654,364.668533567398,273.749287567139,327.085558497263,292.755847093536,331.668685341901,339.805734049479,293.093091514489
2011,80.9102985220896,80.8224833083875,119.282363827597,116.244320585921,81.0482110399188,76.9359795211197,112.223201705749,86.1121912906044,134.601103646415,190.924098907955,126.982851028442,171.191878450131,152.293728339963,112.345249788009,130.136797078451,82.0116622990293
2012,105.161922078737,102.140216495052,154.397135996979,190.634146509944,114.107365752711,106.346137207824,152.683756816818,146.586847164756,215.091471281506,219.311210753426,148.440121154785,195.460187626456,156.891385334294,77.8100082683053,77.4602594502767,54.1727312767454
2013,87.4778833523603,81.2680494135076,114.426824966533,134.624028334746,76.7794790267944,80.7972732147613,153.781035549669,139.932180545205,136.476546187628,203.356681218223,152.115191574097,158.631914515695,149.606728530512,61.536396373402,75.9732061767578,59.0161103670178
2014,62.9002075732594,60.1414270978985,122.508653192712,112.374950615135,69.1237916079434,68.6448344193496,101.604445905571,85.8371308979235,99.1494041806176,196.918043106321,121.954483261108,154.11768016701,135.797738517203,84.3759368855685,96.0050344848633,67.7604432167413
2015,79.7288202634999,77.6831644809607,118.019538956201,134.877146849761,89.8208477135861,80.9735531497311,135.271561312388,125.166189896433,126.135508037749,220.643029106988,147.636257553101,192.063538328616,150.972087953149,111.084376534039,136.757469685872,113.720326468668
2016,108.862934596102,100.067753502817,148.745148780362,173.913815884977,124.098262786865,107.90780203683,169.413559971086,155.914516167892,162.254238927932,253.525833129883,181.198137512207,233.473835836628,189.524249379228,130.114051574054,153.208469340007,109.458101919281
2017,95.3619796323105,93.4055816910484,98.9807226193831,103.520702207411,113.452541524714,91.1072854376459,114.856833676258,109.339118555972,104.961748976935,156.104143415179,129.954336700439,158.440597945345,123.401306059302,118.288967275365,134.01474802653,92.9589194105418
2018,75.4198936677315,74.2599707083269,91.1189424399562,118.51434094197,97.7051222830108,98.958675533146,121.403904190983,113.508124341463,118.716861979167,165.727515326606,120.431925964355,178.114383857407,125.987891220465,107.819077476461,140.050578511556,97.53325479532
2019,154.641132301008,144.933703046856,206.247617580747,227.262981105495,180.775504314538,160.546311811967,233.670996976186,212.522201377467,218.596850731259,351.090364002046,276.046923980713,302.446394046624,277.769785253013,224.628458359662,246.797413533529,184.405342134795
2020,80.3202890745351,84.5749920064753,91.1595439014819,84.9195313324799,100.619107506492,92.8766998687348,82.3637230195195,72.6038756119577,76.261669594901,112.844702463301,92.1968526077271,98.2867747780806,89.7244227339582,123.90842556061,129.091642252604,102.98389493754
2021,69.0668422000509,66.4812841270909,73.4348433065734,96.6189846348118,78.5297911094897,72.6006573763761,96.9483424726739,107.761016122918,111.046009481521,204.853790525406,115.297484741211,156.790804925793,128.789448528755,81.1569056791418,101.045109812419,62.7612123612171
2022,76.0576929978921,73.7943846240188,107.333432908026,104.901403839524,92.5808752811316,87.2918353390384,94.9766637043781,89.5527714779502,99.9295342944917,168.469116937547,106.223288955688,148.439462444739,110.467127823248,58.6581993103027,86.1671816507975,52.7016870392239
2023,114.200936545788,111.431902134057,128.865903713559,147.32551677807,154.138944683653,133.242031840535,152.079149544957,153.516331401624,166.825898197719,311.085354517377,225.868496398926,244.760044943073,222.956006678139,292.428511267677,231.451741739909,222.942498399464
2024,59.5117771524779,60.2921987446872,89.1356630261312,106.929146998637,68.5360681360418,65.9349547547179,105.204855309912,95.0291534423828,111.061558242071,160.427399287148,103.270330352783,122.689407028838,102.116908282768,150.637805632729,137.748990275065,132.353348465948
